module,unit,title,reading_chapters,reading_urls,official_simulators,hands_on,source_alignment
"1","Virtualization","What an Operating System Does","Chapter 2: Introduction to Operating Systems","https://pages.cs.wisc.edu/~remzi/OSTEP/intro.pdf","","Create the portable OS lab workspace, inspect its container recipe, compile the starter C program, and record the compiler/runtime versions.","OSTEP Chapter 2 introduces the operating system’s core goals. This module connects those goals to mechanism-versus-policy reasoning and a reproducible C and Unix workflow."
"2","Virtualization","Processes and Process APIs","Chapter 4: The Abstraction: The Process | Chapter 5: Interlude: Process API","https://pages.cs.wisc.edu/~remzi/OSTEP/cpu-intro.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/cpu-api.pdf","Chapter 4: Process-state transitions","Write a small C program that forks, prints parent/child PIDs, waits, and then add an exec call. Predict the output before running it.","OSTEP Chapters 4–5 explain the process abstraction and its APIs. This module turns that reading into fork, exec, wait, exit, and shell traces."
"3","Virtualization","CPU Mechanisms and Scheduling","Chapter 6: Mechanism: Limited Direct Execution | Chapter 7: Scheduling: Introduction | Chapter 8: Scheduling: The Multi-Level Feedback Queue | Chapter 9: Scheduling: Proportional Share | Chapter 10: Multiprocessor Scheduling","https://pages.cs.wisc.edu/~remzi/OSTEP/cpu-mechanisms.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/cpu-sched.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/cpu-sched-mlfq.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/cpu-sched-lottery.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/cpu-sched-multi.pdf","Chapter 7: FIFO/SJF scheduling metrics | Chapter 8: MLFQ priority and I/O behavior | Chapter 9: Lottery scheduling | Chapter 10: Multiprocessor scheduling and caches","Run OSTEP scheduling simulators with at least three seeds. Draw one Gantt chart manually, then reconcile it with simulator output.","OSTEP Chapters 6–10 progress from limited direct execution to scheduling policies. This module emphasizes reproducible traces, response and turnaround metrics, and policy tradeoffs."
"4","Virtualization","Address Spaces, Relocation, and Segmentation","Chapter 13: The Abstraction: Address Spaces | Chapter 14: Interlude: Memory API | Chapter 15: Mechanism: Address Translation | Chapter 16: Segmentation","https://pages.cs.wisc.edu/~remzi/OSTEP/vm-intro.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/vm-api.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/vm-mechanism.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/vm-segmentation.pdf","Chapter 15: Base-and-bounds relocation | Chapter 16: Two-segment translation","Use the OSTEP relocation and segmentation simulators. For three addresses, compute the result by hand before revealing the simulator answer.","OSTEP Chapters 13–16 introduce address spaces, the memory API, relocation, and segmentation. This module focuses on protection checks, translation arithmetic, and fragmentation evidence."
"5","Virtualization","Paging, TLBs, and Page Tables","Chapter 18: Paging: Introduction | Chapter 19: Translation Lookaside Buffers | Chapter 20: Advanced Page Tables","https://pages.cs.wisc.edu/~remzi/OSTEP/vm-paging.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/vm-tlbs.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/vm-smalltables.pdf","Chapter 18: Linear page-table translation | Chapter 20: Multi-level page-table walk","Use the OSTEP paging translation simulator, then write a tiny address-translation worksheet that labels VPN, offset, valid bit, and PFN.","OSTEP Chapters 18–20 develop paging, translation caches, and multi-level page tables. This module uses address decompositions and state tables to make each lookup step visible."
"6","Virtualization","Demand Paging and Replacement","Chapter 21: Swapping: Mechanisms | Chapter 22: Swapping: Policies","https://pages.cs.wisc.edu/~remzi/OSTEP/vm-beyondphys.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/vm-beyondphys-policy.pdf","Chapter 22: Page-replacement policies","Run page-replacement traces under FIFO, LRU, and Clock; explain one point where policies diverge.","OSTEP Chapters 21–22 explain demand paging and replacement policy. This module connects page-fault mechanisms to FIFO, LRU, OPT, and Clock traces under explicit frame counts."
"7","Concurrency","Threads and Race Conditions","Chapter 26: Concurrency: An Introduction | Chapter 27: Interlude: Thread API","https://pages.cs.wisc.edu/~remzi/OSTEP/threads-intro.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/threads-api.pdf","Chapter 26: Thread interleaving trace","Compile a pthread counter program with and without `-fsanitize=thread`, reproduce a race, then protect the critical section.","OSTEP Chapters 26–27 introduce threads, shared state, and the pthread API. This module uses concrete interleavings to connect the abstraction to race and atomicity reasoning."
"8","Concurrency","Locks and Correct Critical Sections","Chapter 28: Locks | Chapter 29: Lock-based Concurrent Data Structures","https://pages.cs.wisc.edu/~remzi/OSTEP/threads-locks.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/threads-locks-usage.pdf","Chapter 28: Test-and-set lock trace","Implement a mutex-protected counter, then deliberately move one access outside the critical section and explain the broken invariant.","OSTEP Chapters 28–29 explain locks and lock-based data structures. This module connects critical-section invariants to mutex ownership, atomic primitives, and data-structure correctness."
"9","Concurrency","Condition Variables and Semaphores","Chapter 30: Condition Variables | Chapter 31: Semaphores","https://pages.cs.wisc.edu/~remzi/OSTEP/threads-cv.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/threads-sema.pdf","","Build a bounded-buffer or ordered-print exercise with pthread mutexes and condition variables; add a log that makes waiting and wakeup visible.","OSTEP Chapters 30–31 develop condition variables and semaphores. This module uses bounded-buffer and ordering cases to practice both safety and progress reasoning."
"10","Concurrency","Deadlock and Liveness","Chapter 32: Common Concurrency Problems","https://pages.cs.wisc.edu/~remzi/OSTEP/threads-bugs.pdf","","Create a two-lock deadlock under controlled conditions, capture thread stacks, then repair it with a documented lock order.","OSTEP Chapter 32 classifies common concurrency failures. This module connects wait-for graphs and the Coffman conditions to prevention, avoidance, detection, and non-deadlock bugs."
"11","Persistence","I/O Devices and Device Interaction","Chapter 36: I/O Devices","https://pages.cs.wisc.edu/~remzi/OSTEP/file-devices.pdf","","Use `strace` in the container to observe open/read/write calls from a small C program; annotate which operations cross into the kernel.","OSTEP Chapter 36 explains the I/O path from software to devices. This module compares polling, interrupts, and DMA while tracing responsibility across the application, kernel, driver, and device."
"12","Persistence","Files, Directories, and Metadata","Chapter 39: Files and Directories","https://pages.cs.wisc.edu/~remzi/OSTEP/file-intro.pdf","","Create a file, hard link, and symbolic link inside the lab workspace; compare `ls -li`, `stat`, and behavior after removing the original name.","OSTEP Chapter 39 explains files, directories, descriptors, links, and metadata. This module turns the APIs into state and namespace traces that distinguish names from open objects."
"13","Persistence","File-System Implementation and Crash Consistency","Chapter 40: File System Implementation | Chapter 41: Fast File System | Chapter 42: Crash Consistency: FSCK and Journaling","https://pages.cs.wisc.edu/~remzi/OSTEP/file-implementation.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/file-ffs.pdf | https://pages.cs.wisc.edu/~remzi/OSTEP/file-journaling.pdf","Chapter 40: Very simple file-system state | Chapter 41: FFS placement policy | Chapter 42: File-system consistency diagnosis","Walk a simplified VSFS image or diagram: resolve a pathname, identify inode/data bitmap changes for file creation, then mark crash points in an update sequence.","OSTEP Chapters 40–42 develop file-system layout, locality, and crash consistency. This module uses access-path and write-order traces to connect on-disk structures to recovery guarantees."
